time,Trace Velocity,EngSpd,MotSpd,GenSpd,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,Battery power,<BattPwrLoss>
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000001,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00000000000003,0.0,0.0
12,0.2,0.1961062564543818,11.042606732108547,-2.964757793381407,0.0,2.666854607995778,-0.0251905590926075,0.0228205255105144,79.99998463958141,3.3554681823221464,1.6150340047774037e-05
13,1.7,1.5982053079420309,100.37924909620776,-27.35159291382162,0.0,20.68283669651351,-0.2044721636063135,1.6313886126557853,79.99869956346527,239.79294100088197,0.0825364502899572
14,5.4,4.712367002841422,360.5557507900898,-100.48218263650328,0.0,51.61813349930678,-0.5930086318244973,15.861373241091986,79.98225427675682,2324.327293870821,7.802243138215805
15,9.9,7.207324724482341,742.4982797833565,-212.342991930338,0.0,64.77907506093351,-0.8991529941567378,40.75461805413375,79.9211762665655,5939.805165001073,51.51307493518322
16,13.1,6.980773496446804,1068.9642718285586,-313.0687991768994,0.0,47.58400248233929,-0.8987897860927165,42.40198789387228,79.83249320781121,6176.317481133136,55.76656219011184
17,16.9,7.634577432624062,1378.015392549126,-406.5326821865736,0.0,52.51910797716778,-1.0697066630843493,59.926816261476304,79.72301368059375,8694.007690504366,111.40130600099243
18,21.7,9.41802837762934,1760.4844257474188,-520.0923678285824,0.0,65.97364443253666,-1.3619001291970694,95.62970251715387,79.5545590039832,13761.79676207246,283.72977824687354
19,26.0,9.890032636827351,2140.502711015957,-635.7444575167924,0.0,60.10659682897423,-1.4837665693488835,105.62409831680976,79.34001018616553,15158.810019310224,346.20736803674424
20,27.5,7.089670306459466,2322.8100712761184,-697.7868339219821,0.0,22.472416273909616,-1.2227980369976363,43.49281851345614,79.19571172300017,6323.42436040661,58.70925294041697
21,28.1,5.066412653811661,2363.457835992216,-714.6465057279552,0.0,8.672543520409619,-1.0973341886931796,17.581543060991304,79.13934533249842,2569.9606817964927,9.594212181586224
22,28.3,4.019873823172882,2359.0579327585897,-715.5622191822688,0.0,4.508556573878713,-1.0488674951385082,9.433732125199098,79.11402177597223,1381.2626582268952,2.7623147061261366
23,28.8,3.950371677516818,2372.774655524762,-719.9232252845593,0.0,9.85628784230806,-1.099016767047,19.98079316759453,79.08105862590078,2918.753548995759,12.39211671779936
24,29.1,3.640875185976,2391.9792893999065,-726.4910163457391,0.0,8.652807489312194,-1.0994259394688537,17.78582854220063,79.04135584197954,2599.0650621775817,9.819402835858384
25,30.8,4.931387109015382,2497.22197400671,-756.0040077342032,0.0,27.19713684799588,-1.3105435357643094,56.248606741674045,78.95384219004544,8150.716188214998,98.21945114023654
26,31.9,4.771808823205834,2608.3048210368206,-790.4574448568991,0.0,20.93587275865412,-1.3130243300764248,45.91961474109721,78.84618937388535,6666.856045371843,65.46603757158734
27,34.1,5.76087288205957,2768.080751919454,-837.3657871769375,0.0,34.02126214846441,-1.4985030522782887,77.41420432463973,78.70930387169095,11159.809595847835,186.0882252539837
28,36.6,6.559948645262656,2975.587835845423,-899.3440566908073,0.0,38.80813395249872,-1.638868484953591,95.11919303313708,78.52199874084849,13653.162825990888,280.99154491483847
29,39.1,6.894115147436578,3190.3425650587437,-964.5538839414278,0.0,38.981273055312,-1.737339218524999,102.19633831192829,78.31085184712306,14638.476323460342,324.42704005693724
30,41.3,6.7692689155319705,3385.156735935927,-1024.6364673050207,0.0,35.12278771687997,-1.787620784808407,97.60941701553044,78.09874570219259,13987.620201955488,296.01903258214304
31,42.5,5.700980177828569,3509.2878860953288,-1065.0630059364537,0.0,22.3304994367479,-1.7238501039133225,65.45840422835423,77.9302341866318,9441.57441915233,133.1491423223111
32,43.3,4.782788454337472,3575.6178110218075,-1087.4155299014303,0.0,15.76244167690704,-1.6883608065272444,47.50612531113303,77.81386493847783,6876.635613117483,70.13842841032792
33,43.9,4.194747698616643,3616.536744273591,-1101.2517705277996,0.0,13.145037725923952,-1.6793586750285152,40.19998708418518,77.7224998194324,5826.822528661173,50.22816506106743
34,44.4,3.814663888597961,3648.5615873720126,-1111.9072259126274,0.0,12.348507260269873,-1.684722614683417,38.12736518609049,77.63988036193076,5527.693198680563,45.18601520497202
35,44.5,3.1776030219628497,3658.571085606252,-1116.3613924492747,0.0,7.973943732947097,-1.649007139853652,25.197238948293556,77.57443414397082,3662.599011959429,19.736223929996967
36,44.2,2.361338707323869,3635.306148686395,-1110.987330307176,0.0,2.750150393302734,-1.590224200960015,9.67223867397129,77.54020446715538,1410.4740243151896,2.908215944508657
37,42.7,0.6362740034331058,3523.3290271687847,-1080.3452764325343,0.0,-8.88301334347562,-1.417562074647856,-18.495064228365933,77.56688603293307,-2713.4604342542148,10.63342169764126
38,39.9,-1.3573984162304895,3319.873541633682,-1022.200847266773,0.0,-20.248894355973743,-1.1998826527598612,-41.4134889990448,77.6470796920575,-6106.612225462588,53.31029056014185
